date information,vs,Score,Type,Line,O/U,Team,Game Outcome,Team Score,Opponent Score,Overtime,Spread Outcome,Spread Wins,Spread Losses,line*,O/U Outcome,Over Wins,Under Wins,Game O/U,Total Score,Game Margin,Day of Week,Date,Season,key,attendance
Sunday 11/13/11,@ Tampa Bay,W 37-9,Week 10,"W
                  -3.5","O
              45.5",Houston,W,37,9,0,W,1,0,-3.5,O,1,0,45.5,46,28,Sunday,11/13/11,2011,Week 10Houston2011,56037
Monday 11/24/14,N.Y. Jets,W 38-3,Week 12,"W
                  -2.5","U
              42",Buffalo,W,38,3,0,W,1,0,-2.5,U,0,1,42,41,35,Monday,11/24/14,2014,Week 12Buffalo2014,56044
Sunday 10/15/17,L.A. Rams,L 17-27,Week 6,"L
                  -1","O
              42",Jacksonville,L,17,27,0,L,0,1,-1,O,1,0,42,44,-10,Sunday,10/15/17,2017,Week 6Jacksonville2017,56232
Sunday 12/04/11,@ Tampa Bay,W 38-19,Week 13,"W
                  -1","O
              46",Carolina,W,38,19,0,W,1,0,-1,O,1,0,46,57,19,Sunday,12/4/11,2011,Week 13Carolina2011,56270
Sunday 09/25/11,@ L.A. Rams,W 37-7,Week 3,"W
                  -4.5","O
              42.5",Baltimore,W,37,7,0,W,1,0,-4.5,O,1,0,42.5,44,30,Sunday,9/25/11,2011,Week 3Baltimore2011,56289
Sunday 11/30/14,@ Tampa Bay,W 14-13,Week 13,"L
                  -6","U
              43.5",Cincinnati,W,14,13,0,L,0,1,-6,U,0,1,43.5,27,1,Sunday,11/30/14,2014,Week 13Cincinnati2014,56340
Sunday 12/18/11,@ L.A. Rams,W 20-13,Week 15,"P
                  -7","U
              38.5",Cincinnati,W,20,13,0,P,0,0,-7,U,0,1,38.5,33,7,Sunday,12/18/11,2011,Week 15Cincinnati2011,56431
Sunday 12/17/17,@ Cleveland,W 27-10,Week 15,"W
                  -6.5","U
              42",Baltimore,W,27,10,0,W,1,0,-6.5,U,0,1,42,37,17,Sunday,12/17/17,2017,Week 15Baltimore2017,56434
Sunday 12/04/11,Tennessee,L 17-23,Week 13,"L
                  -1","U
              43.5",Buffalo,L,17,23,0,L,0,1,-1,U,0,1,43.5,40,-6,Sunday,12/4/11,2011,Week 13Buffalo2011,56463
Sunday 11/25/12,Oakland,W 34-10,Week 12,"W
                  -9.5","U
              50.5",Cincinnati,W,34,10,0,W,1,0,-9.5,U,0,1,50.5,44,24,Sunday,11/25/12,2012,Week 12Cincinnati2012,56503
Sunday 09/28/14,@ L.A. Chargers,L 14-33,Week 4,"L
                  13","O
              45",Jacksonville,L,14,33,0,L,0,1,13,O,1,0,45,47,-19,Sunday,9/28/14,2014,Week 4Jacksonville2014,56553
Sunday 10/26/14,@ Tampa Bay,"W 19-13
           x",Week 8,"W
                  1","U
              43",Minnesota,W,19,13,0,W,1,0,1,U,0,1,43,32,6,Sunday,10/26/14,2014,Week 8Minnesota2014,56577
Sunday 09/09/12,@ Minnesota,"L 23-26
           x",Week 1,"W
                  3.5","O
              38",Jacksonville,L,23,26,0,W,1,0,3.5,O,1,0,38,49,-3,Sunday,9/9/12,2012,Week 1Jacksonville2012,56607
Sunday 11/11/12,N.Y. Giants,W 31-13,Week 10,"W
                  3.5","U
              47",Cincinnati,W,31,13,0,W,1,0,3.5,U,0,1,47,44,18,Sunday,11/11/12,2012,Week 10Cincinnati2012,56614
Sunday 01/03/10,@ Detroit,W 37-23,Week 17,"W
                  -4","O
              44",Chicago,W,37,23,0,W,1,0,-4,O,1,0,44,60,14,Sunday,1/3/10,2009,Week 17Chicago2009,56677
Sunday 09/19/10,@ Detroit,W 35-32,Week 2,"L
                  -6.5","O
              41",Philadelphia,W,35,32,0,L,0,1,-6.5,O,1,0,41,67,3,Sunday,9/19/10,2010,Week 2Philadelphia2010,56688
Sunday 11/14/10,Detroit,W 14-12,Week 10,"W
                  -1.5","U
              45",Buffalo,W,14,12,0,W,1,0,-1.5,U,0,1,45,26,2,Sunday,11/14/10,2010,Week 10Buffalo2010,56721
Sunday 10/21/18,@ Indianapolis,L 5-37,Week 7,"L
                  7","U
              43.5",Buffalo,L,5,37,0,L,0,1,7,U,0,1,43.5,42,-32,Sunday,10/21/18,2018,Week 7Buffalo2018,56848
Sunday 11/13/11,Washington,W 20-9,Week 10,"W
                  -4","U
              38.5",Miami,W,20,9,0,W,1,0,-4,U,0,1,38.5,29,11,Sunday,11/13/11,2011,Week 10Miami2011,57007
Sunday 09/16/18,@ Washington,W 21-9,Week 2,"W
                  6","U
              48",Indianapolis,W,21,9,0,W,1,0,6,U,0,1,48,30,12,Sunday,9/16/18,2018,Week 2Indianapolis2018,57013
Sunday 10/12/14,Carolina,"L 37-37
           x",Week 6,"L
                  -7","O
              44",Cincinnati,L,37,37,0,L,0,1,-7,O,1,0,44,74,0,Sunday,10/12/14,2014,Week 6Cincinnati2014,57053
Sunday 11/25/18,@ Indianapolis,L 24-27,Week 12,"W
                  9","U
              52.5",Miami,L,24,27,0,W,1,0,9,U,0,1,52.5,51,-3,Sunday,11/25/18,2018,Week 12Miami2018,57069
Sunday 12/04/11,Oakland,W 34-14,Week 13,"W
                  -3.5","O
              43",Miami,W,34,14,0,W,1,0,-3.5,O,1,0,43,48,20,Sunday,12/4/11,2011,Week 13Miami2011,57225
